,N_U,I_U,C_U,N_B,I_B,C_B
0,3,5,3,1,6,5
1,2,2,3,4,4,4
2,5,7,4,2,4,5
3,5,7,7,1,7,6
4,7,5,7,1,3,7
5,7,7,7,7,7,7
6,7,6,4,1,6,6
7,6,5,6,4,4,6
8,7,7,7,3,4,7
9,4,5,6,3,5,4
10,6,5,7,1,4,5
11,7,5,7,4,4,7
12,5,2,6,2,1,5
13,5,7,5,3,7,7
14,5,7,7,6,7,6
15,7,4,5,2,4,7
16,6,7,5,4,7,5
17,7,7,5,3,5,5
18,6,5,5,5,5,4
19,2,5,5,5,1,2
20,3,4,5,1,5,4
21,7,7,4,5,6,4
22,4,7,7,4,7,7
23,6,7,6,6,6,6
24,1,2,2,1,2,5
25,6,7,5,5,7,5
26,7,7,7,7,7,7
27,6,6,3,5,2,5
28,5,6,5,3,5,5
29,4,7,7,7,5,7
30,4,2,4,2,1,2
31,3,7,5,3,4,5
32,6,4,6,5,3,5
33,2,6,3,3,6,6
34,6,7,7,7,4,7
35,6,7,4,3,5,3
36,5,6,5,4,5,4
37,6,7,5,5,6,5
38,5,5,5,3,4,3
39,5,6,7,3,3,5
40,3,2,5,6,6,3
41,7,6,7,7,7,7
42,3,7,1,3,4,1
43,6,5,6,5,5,5
44,7,5,7,7,1,7
45,4,7,6,3,1,4
46,5,4,5,5,3,4
47,7,7,7,5,4,2
48,5,3,4,3,1,3
49,5,6,3,5,6,3
50,6,7,6,6,6,5
51,3,7,2,6,7,3
52,7,7,7,6,7,5
53,4,6,6,3,4,4
54,6,5,4,6,3,4
55,7,7,7,7,1,7
56,6,6,7,4,4,7
57,7,5,7,6,7,6
58,6,6,4,7,5,4
59,7,7,7,7,7,7
60,6,7,6,5,6,5
61,7,7,7,3,3,7
62,6,5,6,6,6,6
63,6,6,7,4,4,6
64,7,7,7,3,3,6
65,5,5,7,4,4,6
66,7,7,7,7,7,7
67,7,7,7,7,7,7
68,6,6,7,4,6,6
69,7,6,7,1,1,7
70,7,7,7,7,7,7
71,6,5,7,6,4,4
72,6,6,2,6,2,6
73,7,7,7,1,7,1
74,7,7,7,7,7,7
75,7,4,7,6,4,4
76,5,5,5,5,5,4
77,3,3,4,1,1,3
78,5,4,7,7,7,6
79,6,6,7,6,5,4
80,6,6,6,4,5,5
81,6,6,7,6,6,6
82,7,6,7,7,4,7
83,7,7,7,7,4,7
84,7,5,7,7,3,6
85,7,6,7,7,5,6
86,6,6,5,7,3,3
87,7,7,7,4,4,4
88,7,7,7,7,6,6
89,6,7,7,6,6,4
90,6,4,5,6,4,5
91,4,3,5,1,1,3
92,7,7,7,7,4,7
93,7,7,6,4,5,4
94,5,6,7,5,5,7
95,6,6,7,5,5,6
96,2,4,7,4,3,7
97,7,3,7,6,5,7
98,5,2,6,6,3,6
99,7,7,7,7,4,5
100,6,3,6,4,4,3
101,7,3,7,4,5,4
102,6,1,7,6,2,7
103,5,1,1,1,1,7
104,4,1,7,7,5,7
105,7,5,7,1,3,7
106,7,5,7,1,3,7
107,4,6,6,3,6,6
108,1,5,7,7,7,7
109,4,4,7,6,6,7
110,7,6,7,2,5,6
111,3,5,7,4,6,7
112,7,2,7,6,3,4
113,7,4,7,6,4,2
114,7,6,7,7,3,3
115,7,4,7,5,5,6
116,7,7,7,3,4,6
117,7,7,7,7,6,2
118,6,5,7,4,4,6
119,7,6,7,4,5,5
120,6,3,7,6,5,7
121,7,6,7,6,6,6
122,7,4,7,5,4,7
123,3,1,7,5,1,6
124,5,3,7,4,4,7
125,4,6,6,5,4,5
126,5,6,6,3,6,6
127,7,1,7,7,1,5
128,7,7,7,7,4,7
129,7,3,6,7,5,6
130,7,5,5,7,4,4
131,1,7,7,3,5,7
132,6,5,6,4,3,3
133,7,7,7,7,3,5
134,2,7,7,1,7,7
135,1,7,1,1,7,1
136,7,7,7,7,7,7
137,7,7,7,7,6,7
138,7,7,7,7,6,7
139,6,6,5,6,6,5
140,4,7,7,4,2,7
141,2,4,4,2,4,4
142,7,7,7,6,7,1
143,6,7,7,6,7,7
144,6,4,7,5,3,3
145,7,7,4,7,2,6
146,7,7,7,7,4,2
147,7,6,7,7,6,7
148,7,7,7,5,3,6
149,7,2,4,5,2,3
150,6,7,7,4,5,3
151,7,6,7,7,5,5
152,5,3,6,5,2,6
153,5,7,7,5,5,6
154,5,6,2,5,5,3
155,7,6,7,4,5,7
156,7,7,7,6,5,6
157,5,5,5,6,4,3
158,5,6,6,5,5,6
159,7,7,7,7,4,5
160,7,7,6,4,4,6
161,3,2,7,4,5,6
162,7,5,5,6,5,5
163,3,7,5,5,7,4
164,6,6,6,5,3,5
165,7,7,7,4,4,4
166,7,7,7,7,7,7
167,7,5,7,2,3,7
168,7,7,7,7,7,7
169,7,7,7,2,3,6
170,7,7,7,2,3,6
171,7,5,6,7,5,6
172,7,7,7,7,2,2
173,6,4,4,6,4,4
174,7,7,7,7,1,7
175,7,7,7,4,7,7
176,4,7,4,4,4,4
177,7,4,7,7,4,7
178,7,7,7,6,3,4
179,6,6,7,5,6,7
180,7,7,7,6,5,4
181,2,2,2,2,2,2
182,7,7,7,7,4,5
183,7,7,6,5,5,5
184,7,4,3,6,6,2
185,6,6,7,6,6,7
186,7,5,7,7,4,7
187,7,7,7,6,7,7
188,7,7,7,7,5,5
189,7,5,6,7,4,5
190,4,7,6,4,7,6
191,7,7,7,7,3,6
